@relation temperature,
,
@attribute Temperature numeric,
@attribute Date date 'yyyy-MM-dd',
,
@data,
33,2013-03-22
33,2013-03-23
33,2013-03-24
33,2013-03-25
32,2013-03-26
33,2013-03-27
34,2013-03-28
34,2013-03-29
32,2013-03-30
33,2013-03-31
33,2013-04-01
33,2013-04-02
33,2013-04-03
34,2013-04-04
33,2013-04-05
33,2013-04-06
33,2013-04-07
34,2013-04-08
34,2013-04-09
34,2013-04-10
33,2013-04-11
34,2013-04-12
34,2013-04-13
33,2013-04-14
33,2013-04-15
33,2013-04-16
33,2013-04-17
33,2013-04-18
34,2013-04-19
35,2013-04-20
33,2013-04-21
34,2013-04-22
34,2013-04-23
33,2013-04-24
33,2013-04-25
33,2013-04-26
33,2013-04-27
34,2013-04-28
34,2013-04-29
33,2013-04-30
33,2013-05-01
31,2013-05-02
32,2013-05-03
33,2013-05-04
34,2013-05-05
35,2013-05-06
34,2013-05-07
31,2013-05-08
32,2013-05-09
32,2013-05-10
34,2013-05-11
33,2013-05-12
34,2013-05-13
34,2013-05-14
34,2013-05-15
32,2013-05-16
33,2013-05-17
32,2013-05-18
33,2013-05-19
33,2013-05-20
32,2013-05-21
29,2013-05-22
32,2013-05-23
30,2013-05-24
32,2013-05-25
29,2013-05-26
30,2013-05-27
27,2013-05-28
28,2013-05-29
27,2013-05-30
31,2013-05-31
31,2013-06-01
27,2013-06-02
28,2013-06-03
26,2013-06-04
28,2013-06-05
30,2013-06-06
24,2013-06-07
24,2013-06-08
27,2013-06-09
29,2013-06-10
29,2013-06-11
26,2013-06-12
24,2013-06-13
25,2013-06-14
30,2013-06-15
29,2013-06-16
29,2013-06-17
27,2013-06-18
25,2013-06-19
26,2013-06-20
26,2013-06-21
28,2013-06-22
30,2013-06-23
29,2013-06-24
31,2013-06-25
31,2013-06-26
28,2013-06-27
26,2013-06-28
23,2013-06-29
28,2013-06-30
27,2013-07-01
29,2013-07-02
24,2013-07-03
29,2013-07-04
27,2013-07-05
26,2013-07-06
28,2013-07-07
26,2013-07-08
27,2013-07-09
30,2013-07-10
29,2013-07-11
27,2013-07-12
25,2013-07-13
26,2013-07-14
25,2013-07-15
26,2013-07-16
26,2013-07-17
26,2013-07-18
28,2013-07-19
27,2013-07-20
29,2013-07-21
27,2013-07-22
28,2013-07-23
29,2013-07-24
30,2013-07-25
28,2013-07-26
29,2013-07-27
24,2013-07-28
27,2013-07-29
26,2013-07-30
27,2013-07-31
25,2013-08-01
24,2013-08-02
26,2013-08-03
28,2013-08-04
28,2013-08-05
29,2013-08-06
27,2013-08-07
29,2013-08-08
29,2013-08-09
29,2013-08-10
29,2013-08-11
29,2013-08-12
24,2013-08-13
28,2013-08-14
30,2013-08-15
28,2013-08-16
30,2013-08-17
30,2013-08-18
29,2013-08-19
29,2013-08-20
30,2013-08-21
29,2013-08-22
31,2013-08-23
31,2013-08-24
30,2013-08-25
31,2013-08-26
31,2013-08-27
31,2013-08-28
30,2013-08-29
28,2013-08-30
31,2013-08-31
30,2013-09-01
28,2013-09-02
26,2013-09-03
29,2013-09-04
30,2013-09-05
29,2013-09-06
28,2013-09-07
30,2013-09-08
29,2013-09-09
27,2013-09-10
27,2013-09-11
27,2013-09-12
25,2013-09-13
27,2013-09-14
27,2013-09-15
29,2013-09-16
27,2013-09-17
30,2013-09-18
32,2013-09-19
30,2013-09-20
30,2013-09-21
30,2013-09-22
31,2013-09-23
30,2013-09-24
30,2013-09-25
25,2013-09-26
